nl_query,action,time,user,source,src_ip,hostname,severity,status_code,structured_query,event_ts
find login failure events by user root from ip 10.10.10.5 on db-prod-02 this month in secure shell,failure,last30d,root,ssh,10.10.10.5,db-prod-02,*,*,action=failure user=root source=ssh src_ip=10.10.10.5 hostname=db-prod-02 earliest=-30d@d latest=now,2025-09-28T18:57:07
display auth failure events by user anonymous from ip 192.168.1.100 with status 500 yesterday in windows event log,failure,yesterday,anonymous,windows,192.168.1.100,*,*,500,action=failure user=anonymous source=windows src_ip=192.168.1.100 status_code=500 earliest=@d-1d latest=@d,2025-10-03T08:47:07
pull up delete events from ip 10.10.10.5 with status 500 in the last 24 hours in db,deletion,today,*,database,10.10.10.5,*,*,500,action=deletion source=database src_ip=10.10.10.5 status_code=500 earliest=@d latest=now,2025-10-04T03:44:07
give me login failure events by user anonymous on web-server-01 with status 200 this month in secure shell,failure,last30d,anonymous,ssh,*,web-server-01,*,200,action=failure user=anonymous source=ssh hostname=web-server-01 status_code=200 earliest=-30d@d latest=now,2025-10-01T18:57:07
show me authentication events by user root from ip 10.0.0.1 on app-server-03 last 7 days in security log,login,last7d,root,auth,10.0.0.1,app-server-03,*,*,action=login user=root source=auth src_ip=10.0.0.1 hostname=app-server-03 earliest=-7d@d latest=now,2025-10-03T18:57:07
display emergency auth success events by user admin in the last 24 hours in apache,success,today,admin,web,*,*,critical,*,action=success user=admin source=web severity=critical earliest=@d latest=now,2025-10-04T15:25:07
give me file upload events by user jsmith from ip 192.168.0.1 with status 200 this month in database,upload,last30d,jsmith,database,192.168.0.1,*,*,200,action=upload user=jsmith source=database src_ip=192.168.0.1 status_code=200 earliest=-30d@d latest=now,2025-09-14T18:57:07
show me restart events from ip 10.0.0.1 yesterday in file system,restart,yesterday,*,filesystem,10.0.0.1,*,*,*,action=restart source=filesystem src_ip=10.0.0.1 earliest=@d-1d latest=@d,2025-10-03T02:26:07
show me file upload events by user admin from ip 172.16.0.50 last 24 hours in authentication log,upload,last24h,admin,auth,172.16.0.50,*,*,*,action=upload user=admin source=auth src_ip=172.16.0.50 earliest=-24h latest=now,2025-10-03T22:57:07
show me informational successful login events by user root with status 403 past 60 minutes in auth log,success,last1h,root,auth,*,*,info,403,action=success user=root source=auth severity=info status_code=403 earliest=-60m latest=now,2025-10-04T18:47:07
display login events by user jsmith from ip 192.168.1.100 this month in network security,login,last30d,jsmith,firewall,192.168.1.100,*,*,*,action=login user=jsmith source=firewall src_ip=192.168.1.100 earliest=-30d@d latest=now,2025-10-02T18:57:07
show me connection events by user alice with status 403 since yesterday in database,access,last24h,alice,database,*,*,*,403,action=access user=alice source=database status_code=403 earliest=-24h latest=now,2025-10-04T00:57:07
list sign off events by user alice from ip 172.16.0.50 with status 503 the previous day in auth log,logout,yesterday,alice,auth,172.16.0.50,*,*,503,action=logout user=alice source=auth src_ip=172.16.0.50 status_code=503 earliest=@d-1d latest=@d,2025-10-03T16:44:07
find file deletion events by user root with status 403 this week in file system,deletion,last7d,root,filesystem,*,*,*,403,action=deletion user=root source=filesystem status_code=403 earliest=-7d@d latest=now,2025-09-28T18:57:07
display error auth success events from ip 192.168.0.1 on load-balancer last 30 days in nginx,success,last30d,*,web,192.168.0.1,load-balancer,error,*,action=success source=web src_ip=192.168.0.1 hostname=load-balancer severity=error earliest=-30d@d latest=now,2025-09-27T18:57:07
find crit file upload events by user anonymous from ip 192.168.0.1 with status 500 last 30 days in apache,upload,last30d,anonymous,web,192.168.0.1,*,critical,500,action=upload user=anonymous source=web src_ip=192.168.0.1 severity=critical status_code=500 earliest=-30d@d latest=now,2025-09-17T18:57:07
show me request events by user admin past week in db,access,last7d,admin,database,*,*,*,*,action=access user=admin source=database earliest=-7d@d latest=now,2025-10-03T18:57:07
give me upload events by user jsmith on app-server-03 last hour in firewall,upload,last1h,jsmith,firewall,*,app-server-03,*,*,action=upload user=jsmith source=firewall hostname=app-server-03 earliest=-60m latest=now,2025-10-04T18:37:07
list warning crash events by user jsmith on load-balancer today in file system,error,today,jsmith,filesystem,*,load-balancer,warning,*,action=error user=jsmith source=filesystem hostname=load-balancer severity=warning earliest=@d latest=now,2025-10-04T08:05:07
find successful login events by user jsmith the previous day in filesystem,success,yesterday,jsmith,filesystem,*,*,*,*,action=success user=jsmith source=filesystem earliest=@d-1d latest=@d,2025-10-03T23:10:07
pull up sign off events by user jsmith on firewall-01 with status 502 past 60 minutes in apache,logout,last1h,jsmith,web,*,firewall-01,*,502,action=logout user=jsmith source=web hostname=firewall-01 status_code=502 earliest=-60m latest=now,2025-10-04T18:53:07
pull up info authentication events from ip 172.16.0.50 past week in secure shell,login,last7d,*,ssh,172.16.0.50,*,info,*,action=login source=ssh src_ip=172.16.0.50 severity=info earliest=-7d@d latest=now,2025-10-04T18:57:07
give me warn delete events by user jsmith past 60 minutes in security log,deletion,last1h,jsmith,auth,*,*,warning,*,action=deletion user=jsmith source=auth severity=warning earliest=-60m latest=now,2025-10-04T18:50:07
give me file download events by user jsmith with status 502 last hour in server,download,last1h,jsmith,host,*,*,*,502,action=download user=jsmith source=host status_code=502 earliest=-60m latest=now,2025-10-04T18:40:07
find download events by user bob from ip 172.16.0.50 last 30 days in apache,download,last30d,bob,web,172.16.0.50,*,*,*,action=download user=bob source=web src_ip=172.16.0.50 earliest=-30d@d latest=now,2025-10-02T18:57:07
display failure events by user jsmith from ip 10.10.10.5 on web-server-01 in the last 24 hours in database,error,today,jsmith,database,10.10.10.5,web-server-01,*,*,action=error user=jsmith source=database src_ip=10.10.10.5 hostname=web-server-01 earliest=@d latest=now,2025-10-04T16:21:07
list file download events by user bob yesterday in auth log,download,yesterday,bob,auth,*,*,*,*,action=download user=bob source=auth earliest=@d-1d latest=@d,2025-10-03T14:11:07
list successful login events by user admin from ip 192.168.1.100 last hour in server,success,last1h,admin,host,192.168.1.100,*,*,*,action=success user=admin source=host src_ip=192.168.1.100 earliest=-60m latest=now,2025-10-04T18:49:07
list service restart events by user root this month in windows,restart,last30d,root,windows,*,*,*,*,action=restart user=root source=windows earliest=-30d@d latest=now,2025-09-14T18:57:07
give me informational auth success events by user root on db-prod-02 today in security log,success,today,root,auth,*,db-prod-02,info,*,action=success user=root source=auth hostname=db-prod-02 severity=info earliest=@d latest=now,2025-10-04T13:29:07
display connection events by user bob last 30 days in machine,access,last30d,bob,host,*,*,*,*,action=access user=bob source=host earliest=-30d@d latest=now,2025-09-18T18:57:07
give me failed login events on load-balancer with status 502 last 24 hours in ssh,failure,last24h,*,ssh,*,load-balancer,*,502,action=failure source=ssh hostname=load-balancer status_code=502 earliest=-24h latest=now,2025-10-03T22:57:07
give me service restart events by user admin last 7 days in ssh,restart,last7d,admin,ssh,*,*,*,*,action=restart user=admin source=ssh earliest=-7d@d latest=now,2025-10-04T18:57:07
display connection events by user admin on app-server-03 last 30 days in windows event log,access,last30d,admin,windows,*,app-server-03,*,*,action=access user=admin source=windows hostname=app-server-03 earliest=-30d@d latest=now,2025-09-10T18:57:07
find crash events by user jsmith yesterday in web server,error,yesterday,jsmith,web,*,*,*,*,action=error user=jsmith source=web earliest=@d-1d latest=@d,2025-10-03T15:03:07
give me login failure events by user root on load-balancer last hour in server,failure,last1h,root,host,*,load-balancer,*,*,action=failure user=root source=host hostname=load-balancer earliest=-60m latest=now,2025-10-04T18:31:07
